"price","mileage","tax","mpg","age","model","transmission","fuelType","manufacturer","model_collapsed","engineSize_int"
31699,1000,145,35.8,0,"A Class","Semi-Auto","Petrol","Mercedes","A Class","[1.8,2.1)"
22649,42165,30,65.7,3,"C Class","Semi-Auto","Diesel","Mercedes","C Class","2.1"
39799,32609,189.706803889351,37.2,4,"GLS Class","Semi-Auto","Diesel","Mercedes","Other","[2.2,5.5]"
24995,3500,145,37.2,0,"GLA Class","Automatic","Petrol","Mercedes","GLA Class","[1.5,1.8)"
31449,1000,145,54.3,1,"C Class","Semi-Auto","Diesel","Mercedes","C Class","[1.5,1.8)"
26099,5034,145,55.4,1,"B Class","Automatic","Diesel","Mercedes","B Class","[1.8,2.1)"
17149,17834,145,68.9,3,"A Class","Semi-Auto","Diesel","Mercedes","A Class","2.1"
23749,12000,145,61.4,3,"C Class","Semi-Auto","Diesel","Mercedes","C Class","2.1"
21499,32365,30,61.4,3,"E Class","Semi-Auto","Diesel","Mercedes","E Class","[1.8,2.1)"
29995,9,145,61.4,1,"C Class","Automatic","Diesel","Mercedes","C Class","[1.8,2.1)"
24499,12902,145,61.4,1,"C Class","Semi-Auto","Diesel","Mercedes","C Class","[1.8,2.1)"
28495,1724,145,64.2,1,"C Class","Semi-Auto","Diesel","Mercedes","C Class","[1.8,2.1)"
20299,28242,125,56.5,4,"GLA Class","Semi-Auto","Diesel","Mercedes","GLA Class","2.1"
28599,3889,145,61.4,1,"C Class","Semi-Auto","Diesel","Mercedes","C Class","[1.8,2.1)"
19799,14222,145,46.3,1,"C Class","Semi-Auto","Petrol","Mercedes","C Class","[1.5,1.8)"
26099,9227,145,47.1,1,"C Class","Semi-Auto","Petrol","Mercedes","C Class","[1.5,1.8)"
31649,29810,184.653959916305,34.5,4,"C Class","Semi-Auto","Petrol","Mercedes","C Class","[2.2,5.5]"
22849,11163,145,46.3,2,"C Class","Automatic","Petrol","Mercedes","C Class","[1.5,1.8)"
24995,17744,150,64.2,2,"C Class","Semi-Auto","Diesel","Mercedes","C Class","[1.8,2.1)"
10995,58734,150,53.3,5,"C Class","Semi-Auto","Diesel","Mercedes","C Class","2.1"
27495,31654,150,56.5,3,"GLC Class","Semi-Auto","Diesel","Mercedes","GLC Class","2.1"
7500,91000,125,60.1,9,"C Class","Manual","Diesel","Mercedes","C Class","2.1"
27924,9249,145,57.7,1,"C Class","Semi-Auto","Diesel","Mercedes","C Class","[1.8,2.1)"
36399,15020,145,48.7,1,"E Class","Automatic","Diesel","Mercedes","E Class","[2.2,5.5]"
29599,8746,145,57.7,1,"C Class","Semi-Auto","Diesel","Mercedes","C Class","[1.8,2.1)"
31124,4291,150,56.5,2,"GLC Class","Semi-Auto","Diesel","Mercedes","GLC Class","2.1"
22124,28848,145,52.3,3,"C Class","Semi-Auto","Petrol","Mercedes","C Class","[1.8,2.1)"
44990,19999,145,28.5,1,"C Class","Automatic","Petrol","Mercedes","C Class","[2.2,5.5]"
12000,65000,150,54.3,7,"CLS Class","Automatic","Diesel","Mercedes","CLS Class","2.1"
12495,10000,145,70.6,3,"B Class","Manual","Diesel","Mercedes","B Class","[1.5,1.8)"
14495,23146,115,52.3,5,"C Class","Manual","Petrol","Mercedes","C Class","[1.8,2.1)"
20475,21851,30,65.7,3,"E Class","Automatic","Diesel","Mercedes","E Class","[1.8,2.1)"
16700,26979,20,68.9,4,"A Class","Automatic","Diesel","Mercedes","A Class","2.1"
13450,43000,20,72.4,4,"A Class","Manual","Diesel","Mercedes","A Class","[1.5,1.8)"
13950,40000,20,74.3,4,"A Class","Automatic","Diesel","Mercedes","A Class","[1.5,1.8)"
12990,45000,20,64.2,5,"CL Class","Manual","Diesel","Mercedes","CL Class","2.1"
12990,44000,20,68.9,4,"A Class","Manual","Diesel","Mercedes","A Class","[1.5,1.8)"
17850,38000,30,64.2,4,"C Class","Automatic","Diesel","Mercedes","C Class","2.1"
12990,40000,145,56.5,5,"SLK","Automatic","Diesel","Mercedes","Other","2.1"
14990,53000,125,51.4,4,"CL Class","Manual","Petrol","Mercedes","CL Class","[1.5,1.8)"
30990,72000,171.820000624941,39.2,4,"GL Class","Automatic","Diesel","Mercedes","Other","[2.2,5.5]"
15990,17000,125,52.3,4,"C Class","Automatic","Petrol","Mercedes","C Class","[1.8,2.1)"
21990,27000,30,65.7,3,"E Class","Automatic","Diesel","Mercedes","E Class","[1.8,2.1)"
18990,20000,125,57.7,5,"CLS Class","Automatic","Diesel","Mercedes","CLS Class","2.1"
22990,18000,20,67.3,4,"C Class","Automatic","Diesel","Mercedes","C Class","2.1"
18990,25000,30,65.7,4,"E Class","Automatic","Diesel","Mercedes","E Class","[1.8,2.1)"
13990,67000,30,61.4,5,"C Class","Automatic","Diesel","Mercedes","C Class","2.1"
13990,34000,30,62.8,4,"A Class","Manual","Diesel","Mercedes","A Class","2.1"
12990,45000,20,68.9,4,"A Class","Manual","Diesel","Mercedes","A Class","[1.5,1.8)"
19990,35000,20,67.3,4,"C Class","Automatic","Diesel","Mercedes","C Class","2.1"
12490,35000,30,62.8,5,"A Class","Manual","Diesel","Mercedes","A Class","2.1"
27990,36000,157.6468162285,42.8,4,"GL Class","Automatic","Diesel","Mercedes","Other","[2.2,5.5]"
21990,17000,145,52.3,2,"CL Class","Automatic","Diesel","Mercedes","CL Class","2.1"
15299,20781,20,70.6,4,"A Class","Automatic","Diesel","Mercedes","A Class","2.1"
14143,52115,20,67.3,5,"A Class","Automatic","Diesel","Mercedes","A Class","2.1"
18037,61328,145,65.7,3,"E Class","Automatic","Diesel","Mercedes","E Class","[1.8,2.1)"
12999,44504,20,70.6,4,"A Class","Automatic","Diesel","Mercedes","A Class","2.1"
14799,21147,145,51.4,3,"A Class","Manual","Petrol","Mercedes","A Class","[1.5,1.8)"
15499,45132,125,56.5,5,"GL Class","Automatic","Diesel","Mercedes","Other","2.1"
19200,27064,145,54.3,4,"E Class","Automatic","Diesel","Mercedes","E Class","[2.2,5.5]"
15799,27713,20,67.3,5,"GL Class","Automatic","Diesel","Mercedes","Other","2.1"
16799,17749,145,67.3,3,"CL Class","Manual","Diesel","Mercedes","CL Class","2.1"
14490,63000,125,56.5,5,"E Class","Automatic","Diesel","Mercedes","E Class","2.1"
18865,15021,145,64.2,3,"C Class","Automatic","Diesel","Mercedes","C Class","2.1"
16989,34726,125,51.4,4,"CL Class","Manual","Petrol","Mercedes","CL Class","[1.5,1.8)"
16889,57706,150,55.4,6,"GLA Class","Automatic","Diesel","Mercedes","GLA Class","2.1"
20200,25449,145,67.3,3,"C Class","Automatic","Diesel","Mercedes","C Class","2.1"
13119,20765,125,51.4,4,"A Class","Manual","Petrol","Mercedes","A Class","[1.5,1.8)"
9124,60586,145,56.5,8,"C Class","Automatic","Diesel","Mercedes","C Class","2.1"
10498,73000,0,78.5,6,"A Class","Manual","Diesel","Mercedes","A Class","[1.5,1.8)"
36498,20527,145,45.6,2,"V Class","Automatic","Diesel","Mercedes","V Class","2.1"
29498,1000,145,44.8,0,"CLA Class","Automatic","Petrol","Mercedes","Other","[0.0,1.5)"
53998,1000,145,32.8,0,"GLE Class","Automatic","Diesel","Mercedes","GLE Class","[2.2,5.5]"
31248,34444,145,56.5,3,"GLC Class","Automatic","Diesel","Mercedes","GLC Class","2.1"
18998,22199,145,62.8,3,"A Class","Manual","Diesel","Mercedes","A Class","2.1"
19599,38154,0,74.3,4,"C Class","Automatic","Hybrid","Mercedes","C Class","2.1"
16999,12146,20,70.6,3,"C Class","Manual","Diesel","Mercedes","C Class","[1.5,1.8)"
23248,22623,125,56.5,3,"GLC Class","Automatic","Diesel","Mercedes","GLC Class","2.1"
29498,1000,145,46.3,1,"C Class","Automatic","Petrol","Mercedes","C Class","[1.5,1.8)"
12499,18061,125,58.9,7,"E Class","Automatic","Diesel","Mercedes","E Class","2.1"
20498,18330,145,72.4,3,"E Class","Automatic","Diesel","Mercedes","E Class","[1.8,2.1)"
13790,33516,160,49.6,7,"E Class","Automatic","Diesel","Mercedes","E Class","[2.2,5.5]"
